date,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_share
2022-12-07,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,5.32,6276359144,11,6707144107.0,176982502.0,5.51,5.25,-0.1566810403837513,-2.85872,-187072685.6867733,-2.89432,1179395461.62843,1260344594.51387,,54.98,-90.29064,2021-11-04T14:10:09.301Z,2.7,97.9011,2020-08-20T05:48:11.359Z,,2022-12-07T14:59:51.996Z,0.007572300447164126
2022-12-07,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1219.85,5838192255,12,5838254089.0,8060436.0,1258.61,1209.72,-17.062255173211952,-1.37942,-81717360.32363701,-1.38038,4787031.07028019,4787081.77133802,4787081.77133802,4829.57,-74.62915,2021-11-10T14:40:47.256Z,482.9,153.74042,2020-12-22T04:08:21.854Z,,2022-12-07T14:59:47.268Z,0.007043660951975414
2022-12-07,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,76.77,5510478815,13,6448785043.0,683133356.0,80.27,76.11,-2.658106391268589,-3.3465,-180217868.32361603,-3.16689,71777895.7334713,84000000.0,84000000.0,410.26,-81.19812,2021-05-10T03:13:07.904Z,1.15,6614.28439,2015-01-14T00:00:00.000Z,,2022-12-07T14:59:44.069Z,0.0066482813104796
2022-12-07,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,9.12e-06,5377199691,14,,137542984.0,9.38e-06,8.99e-06,-2.38170292735e-07,-2.54633,-138865837.82030392,-2.51748,589370658047513.2,999991056489935.0,,8.616e-05,-89.38683,2021-10-28T03:54:55.568Z,5.6366e-11,16222657.22439,2020-11-28T11:26:25.838Z,,2022-12-07T14:59:43.479Z,0.006487482741260113
2022-12-07,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,20.74,5218407386,15,,13563754.0,21.32,20.53,-0.5441151570357832,-2.55596,-136550129.4438553,-2.54998,251627611.56,300000000.0,,44.01,-52.81142,2021-05-03T01:03:16.108Z,0.580608,3476.50522,2019-01-14T00:00:00.000Z,,2022-12-07T14:59:47.695Z,0.006295903034845894
2022-12-07,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,0.999789,5160444366,16,5172522378.0,240654028.0,1.006,0.998073,-0.000125777061205867,-0.01258,-45553539.98690796,-0.87502,5162259012.51479,5174341272.08024,5174341272.08024,1.22,-17.87613,2020-03-13T03:02:50.373Z,0.903243,10.82653,2019-11-25T00:04:18.137Z,,2022-12-07T14:55:07.175Z,0.006225971822785703
2022-12-07,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,13.67,4982295431,17,7317458698.0,299018777.0,14.31,13.52,-0.3447650788029488,-2.45985,-120502419.3276186,-2.3615,364659367.821005,535572388.308538,,259.96,-94.72586,2021-11-06T21:54:35.825Z,0.500801,2637.73452,2020-05-11T19:35:23.449Z,,2022-12-07T14:59:35.642Z,0.006011038733519785
2022-12-07,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.05313,4896798192,18,4896798192.0,259615407.0,0.053761,0.05256,0.00025522,0.48269,26522709.0,0.54458,92103817058.3413,92103817058.3413,,0.231673,-76.97076,2018-01-05T00:00:00.000Z,0.00180434,2856.89481,2017-11-12T00:00:00.000Z,"{'times': 26.963191302185294, 'currency': 'usd', 'percentage': 2696.3191302185296}",2022-12-07T14:59:44.812Z,0.005907888042767821
2022-12-07,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,5.99,4516760005,19,5992252249.0,96381753.0,6.26,5.89,-0.17559184425093832,-2.84601,-133745107.86368561,-2.87593,753766667.0,1000000000.0,1000000000.0,44.92,-86.61923,2021-05-03T05:25:04.822Z,1.03,483.43559,2020-09-17T01:20:38.214Z,,2022-12-07T14:59:20.634Z,0.0054493796516234755
2022-12-07,avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,13.24,4108623700,20,9526137811.0,147937796.0,13.68,13.02,-0.31394782062649895,-2.31611,-96425497.03321314,-2.29309,310536034.904072,415942024.904072,720000000.0,144.96,-90.83959,2021-11-21T14:18:56.538Z,2.8,374.07152,2020-12-31T13:15:21.540Z,,2022-12-07T14:59:47.314Z,0.004956971449041591
