Date,Open,High,Low,Close
03/23/2017,99.75,99.87,99.63,99.76
03/22/2017,99.69,99.93,99.55,99.72
03/21/2017,100.37,100.35,99.66,99.75
03/20/2017,100.33,100.45,100.02,100.36
03/17/2017,100.24,100.47,100.14,100.31
03/16/2017,100.56,100.75,100.21,100.23
03/15/2017,101.71,101.71,100.49,100.54
03/14/2017,101.4,101.79,101.34,101.74
03/13/2017,101.29,101.39,101.01,101.37
03/10/2017,101.99,102.0,101.17,101.38
03/09/2017,102.11,102.25,101.7,102.03
03/08/2017,101.79,102.19,101.71,102.12
03/07/2017,101.68,101.91,101.53,101.82
03/06/2017,101.42,101.75,101.22,101.7
03/03/2017,102.13,102.17,101.34,101.54
03/02/2017,101.92,102.26,101.78,102.15
03/01/2017,101.43,101.97,101.23,101.77
02/28/2017,101.21,101.4,100.78,101.36
02/27/2017,101.09,101.27,100.69,101.17
02/24/2017,100.95,101.17,100.66,101.12
02/23/2017,101.38,101.44,100.87,100.98
02/22/2017,101.4,101.72,101.17,101.33
02/21/2017,100.93,101.6,100.91,101.44
02/20/2017,100.52,100.96,100.45,100.95
02/17/2017,100.52,100.96,100.45,100.95
02/16/2017,101.05,101.07,100.41,100.5
02/15/2017,101.22,101.76,101.0,101.09
02/14/2017,100.98,101.38,100.7,101.23
02/13/2017,100.84,101.11,100.58,101.02
02/10/2017,100.67,101.01,100.58,100.71
02/09/2017,100.22,100.68,100.08,100.67
02/08/2017,100.44,100.64,100.06,100.17
02/07/2017,99.93,100.72,99.91,100.4
02/06/2017,99.61,100.25,99.63,99.9
02/03/2017,99.79,100.26,99.56,99.73
02/02/2017,99.76,99.87,99.23,99.82
02/01/2017,99.56,100.04,99.5,99.75
01/31/2017,100.33,100.51,99.43,99.55
01/30/2017,100.34,101.02,100.17,100.37
01/27/2017,100.49,100.82,100.32,100.56
01/26/2017,99.91,100.73,99.79,100.53
01/25/2017,100.31,100.41,99.84,99.92
01/24/2017,100.08,100.43,99.92,100.27
01/23/2017,100.73,100.67,99.9,99.93
01/20/2017,101.17,101.5,100.7,100.81
01/19/2017,101.35,101.73,100.97,101.17
01/18/2017,100.43,101.34,100.32,101.29
01/17/2017,101.54,101.62,100.26,100.3
01/16/2017,101.18,101.73,101.32,101.57
01/13/2017,101.51,101.67,101.01,101.19
01/12/2017,101.67,101.8,100.72,101.45
01/11/2017,102.07,102.95,101.28,101.73
01/10/2017,101.85,102.1,101.51,102.04
01/09/2017,102.25,102.52,101.8,101.84
01/06/2017,101.4,102.29,101.37,102.22
01/05/2017,102.45,102.51,101.3,101.4
01/04/2017,103.17,103.44,102.39,102.52
01/03/2017,102.88,103.82,102.59,103.21
01/02/2017,102.13,102.59,101.91,102.21
12/30/2016,102.13,102.59,101.91,102.21
12/29/2016,103.21,103.25,102.6,102.65
12/28/2016,103.02,103.63,102.87,103.22
12/27/2016,102.97,103.15,102.95,103.04
12/26/2016,103.08,103.23,102.88,102.92
12/23/2016,103.08,103.23,102.88,102.92
12/22/2016,103.05,103.14,102.59,103.09
12/21/2016,103.26,103.38,102.77,103.0
12/20/2016,103.15,103.65,103.03,103.25
12/19/2016,102.92,103.21,102.52,103.13
12/16/2016,103.16,103.27,102.62,102.95
12/15/2016,102.23,103.56,102.16,103.1
12/14/2016,101.04,102.35,100.73,102.2
12/13/2016,100.89,101.16,100.75,101.06
12/12/2016,101.68,101.78,100.84,100.92
12/09/2016,101.06,101.74,101.01,101.59
12/08/2016,100.21,101.25,99.43,101.09
12/07/2016,100.49,100.6,100.13,100.18
12/06/2016,100.13,100.58,99.98,100.49
12/05/2016,100.65,101.54,99.85,100.15
12/02/2016,100.88,101.11,100.62,100.66
12/01/2016,101.52,101.59,100.87,100.95
11/30/2016,100.85,101.83,100.84,101.53
11/29/2016,101.18,101.64,100.86,100.99
11/28/2016,101.48,101.6,100.64,101.16
11/25/2016,101.84,101.92,101.21,101.5
11/24/2016,101.82,102.05,101.43,101.69
11/23/2016,100.95,101.91,100.89,101.71
